"id" "text" "screenname" "isretweet" "retweeted" "created"
"1" "538844590342938624" "@Walmart please renovate your entire company." "IIts_ABREEze17" FALSE FALSE 1417305536
"2" "538844443286458368" "One employee @Walmart customer service taking returns. Why do I continue to shop at this dump?" "JasonSubich" FALSE FALSE 1417305501
"3" "538844443202560001" "RT @ADignorantium: Hey @walmart, maybe if you paid a living wage your employees wouldn't need to rely on the kindness of strangers. #JustSa‚Ä¶" "askyouremployer" TRUE FALSE 1417305501
"4" "538844420876304385" "We love driving by the big Christmas tree that the @Walmart home office puts up every year! http://t.co/BpGUQk0csV" "Jenna05" FALSE FALSE 1417305495
"5" "538844351355682816" "RT @Sarah__Reynolds: * @Walmart has no excuse not to raise wages.Stand up to greed on #BlackFriday http://t.co/u7mCEwCOtx #WalmartStrikers ‚Ä¶" "Kenikewahine78" TRUE FALSE 1417305479
"6" "538844058958168064" "This is the beef selection @Walmart http://t.co/iwhRTziYdb" "bootlegchef" FALSE FALSE 1417305409
"7" "538844058282913792" "RT @mdudas: \"Wal-Mart says that 10 percent of its purchases made from mobile devices take place inside a @Walmart store.\" http://t.co/pZyda‚Ä¶" "sebprovencher" TRUE FALSE 1417305409
"8" "538843951483351040" "RT @WaddySolomon: All CD's are 30 percent off tomorrow morning at @Walmart - so go get @TheVampsband debut USA release! #MeetTheVamps http:‚Ä¶" "mahontioner" TRUE FALSE 1417305383
"9" "538843914435051524" "RT @TheVampsband: Hey USA! Miss us yet? Stop by @Target @ClairesStores @Walmart and grab #MeetTheVamps today #BlackFriday http://t.co/EL9Qm‚Ä¶" "mahontioner" TRUE FALSE 1417305375
"10" "538843748923633664" "@Walmart why does the steak select look like this...ever? http://t.co/LVppYIJW0f" "bootlegchef" FALSE FALSE 1417305335
"11" "538843490877472768" "RT @IslandRecords: While you're out shopping for great deals don't forget to stop by @ClairesStores, @Target or @Walmart to get @TheVampsba‚Ä¶" "SaraBellisario" TRUE FALSE 1417305274
"12" "538843482270748673" "@BrianSozzi @TheNewAdvisory @Walmart what's a 1 hour guarantee?" "ansgarjohn" FALSE FALSE 1417305272
"13" "538843459260383233" "@AndyKing13 @InsideTheMagic Here for @amazon http://t.co/BEh2kxuUPh but not in @Walmart yet" "vanessaknits" FALSE FALSE 1417305266
"14" "538843299927568385" "Related: \"Is @Walmart's New Mobile App The Bridge To Real-World Search?\" http://t.co/8WZtQa9Ldc" "mdudas" FALSE FALSE 1417305228
"15" "538843296140132352" "@Walmart Staggering greed: Walmart Asks Employees To Donate Food To Help Feed Their Coworkers http://t.co/5KqVEYgxFQ ‚Ä¶" "ShareThis323" FALSE FALSE 1417305227
"16" "538843191412154369" "RT @Nettaaaaaaaa: A national @Walmart boycott could be our generations Montgomery Bus Boycott. #JohnCrawford #BlackOutFriday hmmmm Ì†ΩÌ∏â" "KBoirvel" TRUE FALSE 1417305202
"17" "538843118637154306" "Rather than pay their lowest-paid workers a decent wage, @Walmart asks employees to donate food to their coworkers http://t.co/CvBEhlWtyz" "ShareThis323" FALSE FALSE 1417305185
"18" "538843073921683457" "@Walmart is a stupid place 2 work; I can't stand doing this job, but fuck it need da dough B. #WorkHard #BeOnYaGameB" "_BenzieWave_" FALSE FALSE 1417305174
"19" "538842922175569920" "RT @TheVampsband: Hey USA! Miss us yet? Stop by @Target @ClairesStores @Walmart and grab #MeetTheVamps today #BlackFriday http://t.co/EL9Qm‚Ä¶" "niallsmyprjnce" TRUE FALSE 1417305138
"20" "538842764041932800" "@Walmart Why not have enough lanes open all the time? Then u won't have to take out TV ads to let us know when you'll be adequately staffed" "TheRealClickJ" FALSE FALSE 1417305100
"21" "538842716407599107" "RT @shespeaksup: Enter the #PowerTheHolidays giveaway with @Duracell &amp; @SheSpeaksUp &amp; you could win a @Walmart gift card! http://t.co/RRD1A‚Ä¶" "Lavesq" TRUE FALSE 1417305089
"22" "538842626985062400" "RT @VIZIO: Get the 50‚Äù P-Series Ultra HD TV (P502ui-B1E) for just $698 thru Monday @Walmart! http://t.co/2QsZPcu0FN #BlackFriday http://t.c‚Ä¶" "crodESP2010" TRUE FALSE 1417305068
"23" "538842595460669440" "@Walmart it took me more than 5 minutes to find each of the people I did, let alone find a manager." "anderson_jake65" FALSE FALSE 1417305060
"24" "538842576158457856" "RT @IslandRecords: While you're out shopping for great deals don't forget to stop by @ClairesStores, @Target or @Walmart to get @TheVampsba‚Ä¶" "_starberryy" TRUE FALSE 1417305056
"25" "538842559637106688" "RT @IslandRecords: While you're out shopping for great deals don't forget to stop by @ClairesStores, @Target or @Walmart to get @TheVampsba‚Ä¶" "orjauregui" TRUE FALSE 1417305052
"26" "538842492452339712" "RT @IslandRecords: While you're out shopping for great deals don't forget to stop by @ClairesStores, @Target or @Walmart to get @TheVampsba‚Ä¶" "khairah_D3" TRUE FALSE 1417305036
"27" "538842370285256704" "I just checked in @Walmart with #mPLACES" "Karas42Richard" FALSE FALSE 1417305006
"28" "538842279969316865" ".@Walmart: \"from 12-6 this weekend we will open enough lanes to serve our customers.  After that, back to shitty service.\"" "markpaschal" FALSE FALSE 1417304985
"29" "538842259995648000" "I just braved going to @Walmart and it wasn't so bad. I only saw two butt cracks hanging out #walmartians #Xmas #shopping" "MattAitchison1" FALSE FALSE 1417304980
"30" "538842258099810304" "RT @_tie7: ‚Äú@FreeTopher: @Walmart gave $10K to Darren Wilson so that he could move to a safer location SMFH http://t.co/dKDIE0QCzt‚Äù rt this‚Ä¶" "SoEmilySays" TRUE FALSE 1417304980
"31" "538842045255655425" "@Walmart price match,  NOT REALLY! Ì†ΩÌ∏†" "360Gipsy" FALSE FALSE 1417304929
"32" "538841938989154305" "How in the world is it possible that you can't use a @Walmart GC on @vudufans ?  Come on PPL get smart!" "NickPappasNH" FALSE FALSE 1417304904
"33" "538841763830444033" "RT @LOrion: . @WalMart evacuated following bomb threat in #SwataraTownship, Pa. #livingwage #unions #uniteblue #BlackFriday   http://t.co/L‚Ä¶" "Team_LIBer8" TRUE FALSE 1417304862
"34" "538841299773046784" "RT @MJasonHouck: Breaks my heart #PaulFromWalmart @Walmart told friend @HighImpactMom after she had chemo that she needed to buy a coffin o‚Ä¶" "annesi" TRUE FALSE 1417304751
"35" "538841272904339456" "RT @TheVampsband: Today is #BlackFriday don't sleep in and miss it like Brad! Remember you can get the album in @Walmart‚Ä¶ http://t.co/8LlZK‚Ä¶" "5sos144" TRUE FALSE 1417304745
"36" "538841194264920064" "Welp, @kckappus and I are disappointed that @Target doesn't carry the @ScrubDaddy...off to @Walmart! #SharkTankNation http://t.co/1ApxuLwMt9" "akappus" FALSE FALSE 1417304726
"37" "538841060672544769" "@Walmart this store is notorious for problems. I try and get in and get out if I go." "maleficent_cle" FALSE FALSE 1417304694
"38" "538841035397275648" "RT @mjtirto5: @AllieGier @AllieGier  WANNA TXT ME  I WENT TO SCHOOL W/ U  &amp; LET ME TELL U I HAVE A FULL TIME JOB @ THE @LakeJacksonTX  @Wal‚Ä¶" "AllieGier" TRUE FALSE 1417304688
"39" "538840857416568832" "AD: Win great @Walmart treat coupons for your pets by playing the #SeekAndStash game!" "nitonasulaxo" FALSE FALSE 1417304646
"40" "538840835379302400" "I got a label maker thanks to @Walmart &amp; DYMO Ì†ΩÌ≤ñÌ†ΩÌ≤ñ v pleased http://t.co/kPrXt6ouOS" "shutupshelbs" FALSE FALSE 1417304640
